Aspidistra elatior#Cast iron plant#Foliage plant#China#Subtropical#28#8#Strong light #Diffuse light #20#0.51#0.51#1.07#0.91#Water when soil is half dry  &  Can dry between watering#
Calathea ornata Rosea lineata#Stiped calathea#Foliage plant#Cultivar#Tropical#25#10#Strong light #Diffuse light #15#0.36#0.41#1.02#0.91#Keep moist between watering  &  Water when soil is half dry
Calathea pictura 'Argentea'#Silver Calathea#Foliage plant#Cultivar#Tropical#25#10#Strong light #Diffuse light #15#0.25#0.3#0.61#0.61#Keep moist between watering  &  Water when soil is half dry
Calathea rufibarba#Velvet Calathea#Foliage plant#Brazil#Tropical#25#10#Strong light #Diffuse light #15#0.3#0.3#0.91#0.76#Keep moist between watering  &  Water when soil is half dry
Calathea stromata#Stromante#Foliage plant#Brazil#Tropical#25#10#Strong light #Diffuse light #15#0.2#0.3#0.3#0.46#Keep moist between watering  &  Water when soil is half dry
Calathea veitchiana 'Medallion'#Medallion Calathea#Foliage plant#Hybrid#Tropical#25#10#Strong light #Diffuse light #15#0.3#0.3#0.61#0.61#Keep moist between watering  &  Water when soil is half dry
Codiaeum AFD5#Croton#Foliage plant#Cultivar#Tropical#28#10#Full sun #Strong light #25#0.91#0.51#1.83#1.52#Keep moist between watering  &  Water when soil is half dry
Ctenanthe lubbersiana#Phrynium#Foliage plant#Brazil#Tropical#25#12#Strong light #Diffuse light #15#0.41#0.46#1.83#1.83#Keep moist between watering  &  Must not dry between watering
Homalomena 'Emerald Gem'#Emerald gem#Foliage plant#Cultivar#Tropical#28#10#Strong light #Diffuse light #20#0.46#0.46#1.22#1.22#Keep moist between watering  &  Water when soil is half dry
Liriope muscari ' Variegata'#Variegated lily-turf#Foliage plant#Japan#Subtropical#30#8#Strong light #Full sun #20#0.3#0.3#0.46#0.61#Keep moist between watering  &  Water when soil is half dry
Nolina guatemalensis#Elephant foot, Pony tail#Foliage plant#Mexico#Arid Tropical#32#12#Full sun #Strong light #51#2.44#1.52#4.57#3.66#Water when soil is half dry  &  Can dry between watering
Nolina recurvata#Elephant foot, Pony tail#Foliage plant#Mexico#Arid Tropical#32#12#Full sun #Strong light #43#1.52#1.52#4.57#3.66#Water when soil is half dry  &  Can dry between watering
Podocarpus gracilior#African fern pine, Buddhist pine#Foliage plant#Central Africa#Subtropical#30#10#Full sun #Strong light #36#1.68#0.91#7.62#3.66#Keep moist between watering  &  Must not dry between watering
Strelitzia nicolai #White bird of paradise#Foliage plant#South Africa#Subtropical#30#12#Full sun #Strong light #15#0.41#0.3#12.19#9.14#Keep moist between watering  &  Water when soil is half dry
Xanthosoma lindenii#Indian kale#Foliage plant#Colombia#Tropical#28#12#Strong light #Diffuse light #36#0.91#0.91#0.91#0.91#Keep moist between watering  &  Water when soil is half dry
Zamioculcas zamifolia#Zz plant#Foliage plant#South Africa#Tropical#30#12#Strong light #Diffuse light #15#0.3#0.2#1.22#0.91#Keep moist between watering  &  Water when soil is half dry
